competition_category_id,round_label,maqra_code,title,content,notes,sort_order,is_active
6,Penyisihan,TL.2.M20,QS. Ali 'Imran ayat 64,QS. Ali 'Imran ayat 64,,20,1
6,Penyisihan,TL.2.M21,QS. Ali 'Imran ayat 121,QS. Ali 'Imran ayat 121,,21,1
6,Penyisihan,TL.2.M22,QS. Ali 'Imran ayat 172,QS. Ali 'Imran ayat 172,,22,1
6,Penyisihan,TL.2.M23,QS. Al-Ma'idah ayat 20,QS. Al-Ma'idah ayat 20,,23,1
6,Penyisihan,TL.2.M24,QS. Al-Ma'idah ayat 35,QS. Al-Ma'idah ayat 35,,24,1
6,Penyisihan,TL.2.M25,QS. Al-Ma'idah ayat 116,QS. Al-Ma'idah ayat 116,,25,1
6,Penyisihan,TL.2.M26,QS. Al-An'am ayat 42,QS. Al-An'am ayat 42,,26,1
7,Penyisihan,TL.3.M01,QS. Yusus ayat 36,QS. Yusus ayat 36,,1,1
7,Penyisihan,TL.3.M02,QS. Al-Anbiya' ayat 51,QS. Al-Anbiya' ayat 51,,2,1
7,Penyisihan,TL.3.M03,QS. An-Nur ayat 51,QS. An-Nur ayat 51,,3,1
7,Penyisihan,TL.3.M04,QS. Al-'Ankabut ayat 31,QS. Al-'Ankabut ayat 31,,4,1
7,Penyisihan,TL.3.M05,QS. Ar-Ra'du ayat 32,QS. Ar-Ra'du ayat 32,,5,1
7,Penyisihan,TL.3.M06,QS. Ibrahim ayat 1,QS. Ibrahim ayat 1,,6,1
7,Penyisihan,TL.3.M07,QS. An-Nur ayat 1,QS. An-Nur ayat 1,,7,1
7,Penyisihan,TL.3.M08,QS. Ar-Ra'du ayat 19,QS. Ar-Ra'du ayat 19,,8,1
7,Penyisihan,TL.3.M09,QS. Al-Qashas ayat 76,QS. Al-Qashas ayat 76,,9,1
7,Penyisihan,TL.3.M10,QS. Al-Qashas ayat 61,QS. Al-Qashas ayat 61,,10,1
7,Penyisihan,TL.3.M11,QS. Al-'Ankabut ayat 14,QS. Al-'Ankabut ayat 14,,11,1
7,Penyisihan,TL.3.M12,QS. Al-Qashas ayat 22,QS. Al-Qashas ayat 22,,12,1
7,Penyisihan,TL.3.M13,QS. An-Naml ayat 45,QS. An-Naml ayat 45,,13,1
7,Penyisihan,TL.3.M14,QS. An-Naml ayat 15,QS. An-Naml ayat 15,,14,1
7,Penyisihan,TL.3.M15,QS. Al-Hajj ayat 65,QS. Al-Hajj ayat 65,,15,1
7,Penyisihan,TL.3.M16,QS. Al-Hajj ayat 49,QS. Al-Hajj ayat 49,,16,1
7,Penyisihan,TL.3.M17,QS. Al-Hajj ayat 34,QS. Al-Hajj ayat 34,,17,1
7,Penyisihan,TL.3.M18,QS. Al-Anbiya' ayat 94,QS. Al-Anbiya' ayat 94,,18,1
7,Penyisihan,TL.3.M19,QS. Al-Qashas ayat 51,QS. Al-Qashas ayat 51,,19,1
7,Penyisihan,TL.3.M20,QS. Al-Hajj ayat 39,QS. Al-Hajj ayat 39,,20,1
7,Penyisihan,TL.3.M21,QS. Ibrahim ayat 13,QS. Ibrahim ayat 13,,21,1
7,Penyisihan,TL.3.M22,QS. An-Nur ayat 11,QS. An-Nur ayat 11,,22,1
7,Penyisihan,TL.3.M23,QS. An-Nur ayat 41,QS. An-Nur ayat 41,,23,1
7,Penyisihan,TL.3.M24,QS. Al-'Ankabut ayat 23,QS. Al-'Ankabut ayat 23,,24,1
7,Penyisihan,TL.3.M25,QS. Ibrahim ayat 23,QS. Ibrahim ayat 23,,25,1
7,Penyisihan,TL.3.M26,QS. Yusuf ayat 80,QS. Yusuf ayat 80,,26,1
8,Penyisihan,TL.4.M01,QS. At-Taghabun ayat 1,QS. At-Taghabun ayat 1,,1,1
8,Penyisihan,TL.4.M02,QS. Al-Munafiqun ayat 1,QS. Al-Munafiqun ayat 1,,2,1
8,Penyisihan,TL.4.M03,QS. Al-Jumu'ah ayat 1,QS. Al-Jumu'ah ayat 1,,3,1
8,Penyisihan,TL.4.M04,QS. As-Saf ayat 1,QS. As-Saf ayat 1,,4,1
8,Penyisihan,TL.4.M05,QS. Al-Mumtahanah ayat 7,QS. Al-Mumtahanah ayat 7,,5,1
8,Penyisihan,TL.4.M06,QS. Al-Hashr ayat 11,QS. Al-Hashr ayat 11,,6,1
8,Penyisihan,TL.4.M07,QS. Al-Hashr ayat 1,QS. Al-Hashr ayat 1,,7,1
8,Penyisihan,TL.4.M08,QS. Al-Hadid ayat 20,QS. Al-Hadid ayat 20,,8,1
8,Penyisihan,TL.4.M09,QS. Al-Hadid ayat 11,QS. Al-Hadid ayat 11,,9,1
8,Penyisihan,TL.4.M10,QS. Qaf ayat 1,QS. Qaf ayat 1,,10,1
8,Penyisihan,TL.4.M11,QS. Al-Hujurat ayat 1,QS. Al-Hujurat ayat 1,,11,1
8,Penyisihan,TL.4.M12,QS. Al-Ahqaf ayat 27,QS. Al-Ahqaf ayat 27,,12,1
8,Penyisihan,TL.4.M13,QS. Al-Jathiyah ayat 22,QS. Al-Jathiyah ayat 22,,13,1
8,Penyisihan,TL.4.M14,QS. Al-Jathiyah ayat 1,QS. Al-Jathiyah ayat 1,,14,1
8,Penyisihan,TL.4.M15,QS. Hamim Assaajadah ayat 33,QS. Hamim Assaajadah ayat 33,,15,1
8,Penyisihan,TL.4.M16,QS. Al-Mulk ayat 28,QS. Al-Mulk ayat 28,,16,1
8,Penyisihan,TL.4.M17,QS. Al-Mulk ayat 21,QS. Al-Mulk ayat 21,,17,1
8,Penyisihan,TL.4.M18,QS. Az-Zumar ayat 64,QS. Az-Zumar ayat 64,,18,1
8,Penyisihan,TL.4.M19,QS. Az-Zumar ayat 42,QS. Az-Zumar ayat 42,,19,1
8,Penyisihan,TL.4.M20,QS. Az-Zumar ayat 22,QS. Az-Zumar ayat 22,,20,1
8,Penyisihan,TL.4.M21,QS. As Shaad ayat 41,QS. As Shaad ayat 41,,21,1
8,Penyisihan,TL.4.M22,QS. As Shaad ayat 15,QS. As Shaad ayat 15,,22,1
8,Penyisihan,TL.4.M23,QS. Saba' ayat 31,QS. Saba' ayat 31,,23,1
8,Penyisihan,TL.4.M24,QS. Saba' ayat 1,QS. Saba' ayat 1,,24,1
8,Penyisihan,TL.4.M25,QS. Luqman ayat 20,QS. Luqman ayat 20,,25,1
8,Penyisihan,TL.4.M26,QS. Ar-Rum ayat 41,QS. Ar-Rum ayat 41,,26,1
8,Penyisihan,TL.4.M27,QS. Al-Qashas ayat 43,QS. Al-Qashas ayat 43,,27,1
14,Penyisihan,TT.1.M01,QS. Al-Baqarah ayat 40,QS. Al-Baqarah ayat 40,,1,1
14,Penyisihan,TT.1.M02,QS. Al-Baqarah ayat 104,QS. Al-Baqarah ayat 104,,2,1
14,Penyisihan,TT.1.M03,QS. Al-Baqarah ayat 168,QS. Al-Baqarah ayat 168,,3,1
14,Penyisihan,TT.1.M04,QS. Al-Baqarah ayat 243,QS. Al-Baqarah ayat 243,,4,1
14,Penyisihan,TT.1.M05,QS. Ali 'Imran ayat 10,QS. Ali 'Imran ayat 10,,5,1
14,Penyisihan,TT.1.M06,QS. Ali 'Imran ayat 21,QS. Ali 'Imran ayat 21,,6,1
14,Penyisihan,TT.1.M07,QS. Ali 'Imran ayat 92,QS. Ali 'Imran ayat 92,,7,1
14,Penyisihan,TT.1.M08,QS. Ali 'Imran ayat 121,QS. Ali 'Imran ayat 121,,8,1
14,Penyisihan,TT.1.M09,QS. Ali 'Imran ayat 149,QS. Ali 'Imran ayat 149,,9,1
14,Penyisihan,TT.1.M10,QS. An-Nisa' ayat 26,QS. An-Nisa' ayat 26,,10,1
14,Penyisihan,TT.1.M11,QS. An-Nisa' ayat 51,QS. An-Nisa' ayat 51,,11,1
14,Penyisihan,TT.1.M12,QS. An-Nisa' ayat 105,QS. An-Nisa' ayat 105,,12,1
14,Penyisihan,TT.1.M13,QS. An-Nisa' ayat 115,QS. An-Nisa' ayat 115,,13,1
14,Penyisihan,TT.1.M14,QS. An-Nisa' ayat 142,QS. An-Nisa' ayat 142,,14,1
14,Penyisihan,TT.1.M15,QS. Al-Ma'idah ayat 20,QS. Al-Ma'idah ayat 20,,15,1
14,Penyisihan,TT.1.M16,QS. Al-Ma'idah ayat 51,QS. Al-Ma'idah ayat 51,,16,1
14,Penyisihan,TT.1.M17,QS. Al-Ma'idah ayat 57,QS. Al-Ma'idah ayat 57,,17,1
14,Penyisihan,TT.1.M18,QS. Al-Ma'idah ayat 78,QS. Al-Ma'idah ayat 78,,18,1
14,Penyisihan,TT.1.M19,QS. Al-An'am ayat 11,QS. Al-An'am ayat 11,,19,1
14,Penyisihan,TT.1.M20,QS. Al-An'am ayat 21,QS. Al-An'am ayat 21,,20,1
14,Penyisihan,TT.1.M21,QS. Al-An'am ayat 31,QS. Al-An'am ayat 31,,21,1
14,Penyisihan,TT.1.M22,QS. Al-An'am ayat 61,QS. Al-An'am ayat 61,,22,1
14,Penyisihan,TT.1.M23,QS. Al-An'am ayat 101,QS. Al-An'am ayat 101,,23,1
14,Penyisihan,TT.1.M24,QS. Al-An'am ayat 111,QS. Al-An'am ayat 111,,24,1
14,Penyisihan,TT.1.M25,QS. Al-A'raf ayat 11,QS. Al-A'raf ayat 11,,25,1
14,Penyisihan,TT.1.M26,QS. Al-A'raf ayat 26,QS. Al-A'raf ayat 26,,26,1
14,Penyisihan,TT.1.M27,QS. Al-A'raf ayat 40,QS. Al-A'raf ayat 40,,27,1
15,Penyisihan,TT.2.M01,QS. Al-Anfal ayat 20,QS. Al-Anfal ayat 20,,1,1
15,Penyisihan,TT.2.M02,QS. Al-Anfal ayat 38,QS. Al-Anfal ayat 38,,2,1
15,Penyisihan,TT.2.M03,QS. Al-Anfal ayat 48,QS. Al-Anfal ayat 48,,3,1
15,Penyisihan,TT.2.M04,QS. Al-Anfal ayat 59,QS. Al-Anfal ayat 59,,4,1
15,Penyisihan,TT.2.M05,QS. At-Taubah ayat 17,QS. At-Taubah ayat 17,,5,1
15,Penyisihan,TT.2.M06,QS. At-Taubah ayat 25,QS. At-Taubah ayat 25,,6,1
15,Penyisihan,TT.2.M07,QS. At-Taubah ayat 38,QS. At-Taubah ayat 38,,7,1
15,Penyisihan,TT.2.M08,QS. At-Taubah ayat 103,QS. At-Taubah ayat 103,,8,1
15,Penyisihan,TT.2.M09,QS. At-Taubah ayat 111,QS. At-Taubah ayat 111,,9,1
15,Penyisihan,TT.2.M10,QS. Yunus ayat 11,QS. Yunus ayat 11,,10,1
15,Penyisihan,TT.2.M11,QS. Yunus ayat 31,QS. Yunus ayat 31,,11,1
15,Penyisihan,TT.2.M12,QS. Yunus ayat 41,QS. Yunus ayat 41,,12,1
15,Penyisihan,TT.2.M13,QS. Yunus ayat 54,QS. Yunus ayat 54,,13,1
15,Penyisihan,TT.2.M14,QS. Yunus ayat 61,QS. Yunus ayat 61,,14,1
15,Penyisihan,TT.2.M15,QS. Yunus ayat 83,QS. Yunus ayat 83,,15,1
15,Penyisihan,TT.2.M16,QS. Yunus ayat 93,QS. Yunus ayat 93,,16,1
15,Penyisihan,TT.2.M17,QS. Hud ayat 9,QS. Hud ayat 9,,17,1
15,Penyisihan,TT.2.M18,QS. Hud ayat 25,QS. Hud ayat 25,,18,1
15,Penyisihan,TT.2.M19,QS. Hud ayat 36,QS. Hud ayat 36,,19,1
15,Penyisihan,TT.2.M20,QS. Hud ayat 50,QS. Hud ayat 50,,20,1
15,Penyisihan,TT.2.M21,QS. Hud ayat 61,QS. Hud ayat 61,,21,1
15,Penyisihan,TT.2.M22,QS. Hud ayat 69,QS. Hud ayat 69,,22,1
15,Penyisihan,TT.2.M23,QS. Hud ayat 83,QS. Hud ayat 83,,23,1
15,Penyisihan,TT.2.M24,QS. Hud ayat 91,QS. Hud ayat 91,,24,1
15,Penyisihan,TT.2.M25,QS. Hud ayat 110,QS. Hud ayat 110,,25,1
15,Penyisihan,TT.2.M26,QS. Yusuf ayat 7,QS. Yusuf ayat 7,,26,1
15,Penyisihan,TT.2.M27,QS. Yusuf ayat 36,QS. Yusuf ayat 36,,27,1
15,Penyisihan,TT.2.M28,QS. Yusuf ayat 85,QS. Yusuf ayat 85,,28,1
16,Penyisihan,TT.3.M01,QS. Al-Anbiya' ayat 11,QS. Al-Anbiya' ayat 11,,1,1
16,Penyisihan,TT.3.M02,QS. Al-Anbiya' ayat 30,QS. Al-Anbiya' ayat 30,,2,1
16,Penyisihan,TT.3.M03,QS. Al-Anbiya' ayat 42,QS. Al-Anbiya' ayat 42,,3,1
16,Penyisihan,TT.3.M04,QS. Al-Anbiya' ayat 76,QS. Al-Anbiya' ayat 76,,4,1
16,Penyisihan,TT.3.M05,QS. Al-Anbiya' ayat 94,QS. Al-Anbiya' ayat 94,,5,1
16,Penyisihan,TT.3.M06,QS. Al-Hajj ayat 34,QS. Al-Hajj ayat 34,,6,1
16,Penyisihan,TT.3.M07,QS. Al-Hajj ayat 49,QS. Al-Hajj ayat 49,,7,1
16,Penyisihan,TT.3.M08,QS. Al-Hajj ayat 65,QS. Al-Hajj ayat 65,,8,1
16,Penyisihan,TT.3.M09,QS. Al-Mu'minun ayat 23,QS. Al-Mu'minun ayat 23,,9,1
16,Penyisihan,TT.3.M10,QS. Al-Mu'minun ayat 51,QS. Al-Mu'minun ayat 51,,10,1
16,Penyisihan,TT.3.M11,QS. Al-Mu'minun ayat 78,QS. Al-Mu'minun ayat 78,,11,1
16,Penyisihan,TT.3.M12,QS. An-Nur ayat 21,QS. An-Nur ayat 21,,12,1
16,Penyisihan,TT.3.M13,QS. An-Nur ayat 35,QS. An-Nur ayat 35,,13,1
16,Penyisihan,TT.3.M14,QS. Al-Furqan ayat 10,QS. Al-Furqan ayat 10,,14,1
16,Penyisihan,TT.3.M15,QS. Al-Furqan ayat 21,QS. Al-Furqan ayat 21,,15,1
16,Penyisihan,TT.3.M16,QS. Al-Furqan ayat 35,QS. Al-Furqan ayat 35,,16,1
16,Penyisihan,TT.3.M17,QS. Al-Furqan ayat 61,QS. Al-Furqan ayat 61,,17,1
16,Penyisihan,TT.3.M18,QS. ASY.SYU'ARAK ayat 52,QS. ASY.SYU'ARAK ayat 52,,18,1
16,Penyisihan,TT.3.M19,QS. AN.NAMAL ayat 1,QS. AN.NAMAL ayat 1,,19,1
16,Penyisihan,TT.3.M20,QS. AN.NAMAL ayat 15,QS. AN.NAMAL ayat 15,,20,1
16,Penyisihan,TT.3.M21,QS. AN.NAMAL ayat 32,QS. AN.NAMAL ayat 32,,21,1
16,Penyisihan,TT.3.M22,QS. AN.NAMAL ayat 45,QS. AN.NAMAL ayat 45,,22,1
16,Penyisihan,TT.3.M23,QS. AN.NAMAL ayat 67,QS. AN.NAMAL ayat 67,,23,1
16,Penyisihan,TT.3.M24,QS. Al-Qashas ayat 29,QS. Al-Qashas ayat 29,,24,1
16,Penyisihan,TT.3.M25,QS. Al-Qashas ayat 43,QS. Al-Qashas ayat 43,,25,1
16,Penyisihan,TT.3.M26,QS. Al-Qashas ayat 51,QS. Al-Qashas ayat 51,,26,1
16,Penyisihan,TT.3.M27,QS. Al-Qashas ayat 61,QS. Al-Qashas ayat 61,,27,1
16,Penyisihan,TT.3.M28,QS. Al-'Ankabut ayat 8,QS. Al-'Ankabut ayat 8,,28,1
9,Penyisihan,HQ.1.M01,QS. Al-Baqarah ayat 130,QS. Al-Baqarah ayat 130,,1,1
9,Penyisihan,HQ.1.M02,QS. Al-Baqarah ayat 197,QS. Al-Baqarah ayat 197,,2,1
9,Penyisihan,HQ.1.M03,QS. Al-Baqarah ayat 222,QS. Al-Baqarah ayat 222,,3,1
9,Penyisihan,HQ.1.M04,QS. Al-Baqarah ayat 274,QS. Al-Baqarah ayat 274,,4,1
9,Penyisihan,HQ.1.M05,QS. Ali 'Imran ayat 21,QS. Ali 'Imran ayat 21,,5,1
9,Penyisihan,HQ.1.M06,QS. Ali 'Imran ayat 42,QS. Ali 'Imran ayat 42,,6,1
9,Penyisihan,HQ.1.M07,QS. Ali 'Imran ayat 55,QS. Ali 'Imran ayat 55,,7,1
9,Penyisihan,HQ.1.M08,QS. Ali 'Imran ayat 110,QS. Ali 'Imran ayat 110,,8,1
9,Penyisihan,HQ.1.M09,QS. Ali 'Imran ayat 121,QS. Ali 'Imran ayat 121,,9,1
9,Penyisihan,HQ.1.M10,QS. Al-Ma'idah ayat 20,QS. Al-Ma'idah ayat 20,,10,1
9,Penyisihan,HQ.1.M11,QS. Al-Ma'idah ayat 35,QS. Al-Ma'idah ayat 35,,11,1
9,Penyisihan,HQ.1.M12,QS. Al-Ma'idah ayat 67,QS. Al-Ma'idah ayat 67,,12,1
9,Penyisihan,HQ.1.M13,QS. Al-Ma'idah ayat 101,QS. Al-Ma'idah ayat 101,,13,1
9,Penyisihan,HQ.1.M14,QS. Al-Ma'idah ayat 116,QS. Al-Ma'idah ayat 116,,14,1
9,Penyisihan,HQ.1.M15,QS. Al-An'am ayat 21,QS. Al-An'am ayat 21,,15,1
9,Penyisihan,HQ.1.M16,QS. Al-An'am ayat 31,QS. Al-An'am ayat 31,,16,1
9,Penyisihan,HQ.1.M17,QS. Al-An'am ayat 61,QS. Al-An'am ayat 61,,17,1
9,Penyisihan,HQ.1.M18,QS. Al-An'am ayat 111,QS. Al-An'am ayat 111,,18,1
9,Penyisihan,HQ.1.M19,QS. Al-An'am ayat 130,QS. Al-An'am ayat 130,,19,1
9,Penyisihan,HQ.1.M20,QS. Al-A'raf ayat 11,QS. Al-A'raf ayat 11,,20,1
9,Penyisihan,HQ.1.M21,QS. Al-A'raf ayat 32,QS. Al-A'raf ayat 32,,21,1
9,Penyisihan,HQ.1.M22,QS. Al-A'raf ayat 48,QS. Al-A'raf ayat 48,,22,1
9,Penyisihan,HQ.1.M23,QS. Al-A'raf ayat 88,QS. Al-A'raf ayat 88,,23,1
9,Penyisihan,HQ.1.M24,QS. Al-A'raf ayat 94,QS. Al-A'raf ayat 94,,24,1
9,Penyisihan,HQ.1.M25,QS. Al-A'raf ayat 100,QS. Al-A'raf ayat 100,,25,1
9,Penyisihan,HQ.1.M26,QS. Al-A'raf ayat 127,QS. Al-A'raf ayat 127,,26,1
11,Penyisihan,HQ.3.M01,QS. An-Nisa' ayat 148,QS. An-Nisa' ayat 148,,1,1
11,Penyisihan,HQ.3.M02,QS. An-Nisa' ayat 155,QS. An-Nisa' ayat 155,,2,1
11,Penyisihan,HQ.3.M03,QS. An-Nisa' ayat 170,QS. An-Nisa' ayat 170,,3,1
11,Penyisihan,HQ.3.M04,QS. An-Nisa' ayat 172,QS. An-Nisa' ayat 172,,4,1
11,Penyisihan,HQ.3.M05,QS. Al-Ma'idah ayat 8,QS. Al-Ma'idah ayat 8,,5,1
11,Penyisihan,HQ.3.M06,QS. Al-Ma'idah ayat 18,QS. Al-Ma'idah ayat 18,,6,1
11,Penyisihan,HQ.3.M07,QS. Al-Ma'idah ayat 25,QS. Al-Ma'idah ayat 25,,7,1
11,Penyisihan,HQ.3.M08,QS. Al-Ma'idah ayat 51,QS. Al-Ma'idah ayat 51,,8,1
11,Penyisihan,HQ.3.M09,QS. Al-Ma'idah ayat 60,QS. Al-Ma'idah ayat 60,,9,1
11,Penyisihan,HQ.3.M10,QS. Al-Ma'idah ayat 67,QS. Al-Ma'idah ayat 67,,10,1
11,Penyisihan,HQ.3.M11,QS. Al-Ma'idah ayat 87,QS. Al-Ma'idah ayat 87,,11,1
11,Penyisihan,HQ.3.M12,QS. Al-Ma'idah ayat 90,QS. Al-Ma'idah ayat 90,,12,1
11,Penyisihan,HQ.3.M13,QS. Al-Ma'idah ayat 116,QS. Al-Ma'idah ayat 116,,13,1
11,Penyisihan,HQ.3.M14,QS. Al-An'am ayat 11,QS. Al-An'am ayat 11,,14,1
11,Penyisihan,HQ.3.M15,QS. Al-An'am ayat 31,QS. Al-An'am ayat 31,,15,1
11,Penyisihan,HQ.3.M16,QS. Al-An'am ayat 36,QS. Al-An'am ayat 36,,16,1
11,Penyisihan,HQ.3.M17,QS. Al-An'am ayat 46,QS. Al-An'am ayat 46,,17,1
11,Penyisihan,HQ.3.M18,QS. Al-An'am ayat 56,QS. Al-An'am ayat 56,,18,1
11,Penyisihan,HQ.3.M19,QS. Al-An'am ayat 63,QS. Al-An'am ayat 63,,19,1
11,Penyisihan,HQ.3.M20,QS. Al-An'am ayat 74,QS. Al-An'am ayat 74,,20,1
11,Penyisihan,HQ.3.M21,QS. Al-An'am ayat 114,QS. Al-An'am ayat 114,,21,1
11,Penyisihan,HQ.3.M22,QS. Al-An'am ayat 158,QS. Al-An'am ayat 158,,22,1
11,Penyisihan,HQ.3.M23,QS. Al-A'raf ayat 26,QS. Al-A'raf ayat 26,,23,1
